response_id,exercise,cycle_phase,coaching_label,min_reps,max_reps,min_form_score,max_form_score,fatigue_level,performance_trend,symmetry_condition,response_type,response_text
R0098,squat,follicular,reduce_intensity,0,8,0,84,medium,declining,any,main_plus_cycle,This session suggests the exercise may have been too demanding today. Keep the {exercise} lighter and prioritise knee tracking. Your follicular-phase session can focus on building momentum. Use today’s {reps} reps as a baseline and slowly increase volume or resistance if recovery feels good.
R0099,squat,follicular,focus_control,0,50,55,89,high,improving,any,main_plus_cycle,"Your {exercise} would benefit from slower reps and better control, especially around controlled rise. Your follicular-phase session can focus on building momentum. Use today’s {reps} reps as a baseline and slowly increase volume or resistance if recovery feels good."
R0100,squat,follicular,focus_control,0,50,55,89,low,declining,any,main_plus_cycle,"Your form was not poor, but it needs more consistency. Slow the movement down and reset between reps. This phase may support training progression, but your form data should still lead the decision. Keep knee tracking clean before adding more reps or weight."
R0101,squat,follicular,maintain_quality,7,50,80,100,low,stable,any,main_plus_cycle,"Your technique looked consistent. Keep using this as your baseline before adding more challenge. In the follicular phase, some users feel energy gradually returning. With {reps} reps completed, this may be a good time to rebuild consistency, but only increase difficulty if your form remains controlled."
R0102,squat,follicular,maintain_quality,7,50,80,100,medium,improving,any,main_plus_cycle,"Your form score was strong, so maintain this quality and keep the same controlled rhythm next session. In the follicular phase, some users feel energy gradually returning. With {reps} reps completed, this may be a good time to rebuild consistency, but only increase difficulty if your form remains controlled."
R0103,squat,follicular,increase_challenge,7,50,80,100,medium,declining,any,main_plus_cycle,"You completed {reps} reps with strong form, so a small increase in challenge may be appropriate next time. In the follicular phase, some users feel energy gradually returning. With {reps} reps completed, this may be a good time to rebuild consistency, but only increase difficulty if your form remains controlled."
R0104,squat,follicular,increase_challenge,7,50,80,100,medium,declining,any,main_plus_cycle,"This was a strong performance. Consider slightly increasing reps or resistance if recovery feels good. In the follicular phase, some users feel energy gradually returning. With {reps} reps completed, this may be a good time to rebuild consistency, but only increase difficulty if your form remains controlled."
R0105,squat,follicular,prioritise_recovery,0,8,0,84,low,declining,any,main_plus_cycle,"Today looks more like a maintenance session. Rest, hydrate, and avoid pushing extra volume. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping knee tracking as the priority."
R0106,squat,follicular,prioritise_recovery,0,8,0,84,high,declining,any,main_plus_cycle,Your fatigue level suggests recovery should be the main focus after this session. Your follicular-phase session can focus on building momentum. Use today’s {reps} reps as a baseline and slowly increase volume or resistance if recovery feels good.
R0107,squat,follicular,improve_symmetry,0,50,0,100,any,any,high_diff,main_plus_cycle,"Your symmetry difference suggests one side may be working harder than the other. Slow down and match both sides evenly. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping hip stability as the priority."
R0108,squat,follicular,improve_symmetry,0,50,0,100,any,improving,high_diff,main_plus_cycle,"For your next {exercise}, prioritise balanced movement rather than increasing reps. Your follicular-phase session can focus on building momentum. Use today’s {reps} reps as a baseline and slowly increase volume or resistance if recovery feels good."
R0109,squat,follicular,improve_range_of_motion,0,50,55,89,medium,any,any,main_plus_cycle,"Try to complete each rep through a smoother, more consistent range without forcing the joint position. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping hip stability as the priority."
R0110,squat,follicular,improve_range_of_motion,0,50,55,89,low,any,any,main_plus_cycle,"Try to complete each rep through a smoother, more consistent range without forcing the joint position. Your follicular-phase session can focus on building momentum. Use today’s {reps} reps as a baseline and slowly increase volume or resistance if recovery feels good."
R0111,squat,follicular,progress_gradually,7,50,80,100,any,any,any,main_plus_cycle,"Build gradually from this session. Add reps or resistance slowly rather than jumping too quickly. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping hip stability as the priority."
R0112,squat,follicular,progress_gradually,7,50,80,100,high,improving,any,main_plus_cycle,"You are showing signs of progress, but keep increases small and controlled. This phase may support training progression, but your form data should still lead the decision. Keep hip stability clean before adding more reps or weight."
R0113,squat,ovulatory,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"Your performance data points towards lowering the challenge for now. Aim for cleaner reps before increasing weight or volume. Your ovulatory-phase feedback suggests this could be a stronger training window. If your joints feel stable and form stays high, gradually increase challenge rather than making a large jump."
R0114,squat,ovulatory,reduce_intensity,0,8,0,84,low,declining,any,main_plus_cycle,"You only completed {reps} reps and your form score was {form_score}, so reduce intensity and focus on controlled, safe movement. During the ovulatory phase, energy may feel higher. Since you completed {reps} reps, you could consider a small progression next time, but avoid sacrificing hip stability."
R0115,squat,ovulatory,focus_control,0,50,55,89,high,stable,any,main_plus_cycle,"Your form was not poor, but it needs more consistency. Slow the movement down and reset between reps. If you feel strong in the ovulatory phase, progression can be appropriate. However, the priority is still safe technique, balanced movement, and controlled reps."
R0116,squat,ovulatory,focus_control,0,50,55,89,high,improving,any,main_plus_cycle,"Focus on technique over speed next time. Keep each rep smooth and avoid rushing the movement. Your ovulatory-phase feedback suggests this could be a stronger training window. If your joints feel stable and form stays high, gradually increase challenge rather than making a large jump."
R0117,squat,ovulatory,maintain_quality,7,50,80,100,low,stable,any,main_plus_cycle,"Your technique looked consistent. Keep using this as your baseline before adding more challenge. During the ovulatory phase, energy may feel higher. Since you completed {reps} reps, you could consider a small progression next time, but avoid sacrificing depth control."
R0118,squat,ovulatory,maintain_quality,7,50,80,100,high,declining,any,main_plus_cycle,"Your technique looked consistent. Keep using this as your baseline before adding more challenge. Your ovulatory-phase feedback suggests this could be a stronger training window. If your joints feel stable and form stays high, gradually increase challenge rather than making a large jump."
R0119,squat,ovulatory,increase_challenge,7,50,80,100,medium,improving,any,main_plus_cycle,"You completed {reps} reps with strong form, so a small increase in challenge may be appropriate next time. Your ovulatory-phase feedback suggests this could be a stronger training window. If your joints feel stable and form stays high, gradually increase challenge rather than making a large jump."
R0120,squat,ovulatory,increase_challenge,7,50,80,100,low,declining,any,main_plus_cycle,"This was a strong performance. Consider slightly increasing reps or resistance if recovery feels good. Because this phase can coincide with higher energy for some users, use the session to push carefully. Keep movement quality high and avoid rushing the {exercise}."
R0121,squat,ovulatory,prioritise_recovery,0,8,0,84,medium,declining,any,main_plus_cycle,"Your fatigue level suggests recovery should be the main focus after this session. Your ovulatory-phase feedback suggests this could be a stronger training window. If your joints feel stable and form stays high, gradually increase challenge rather than making a large jump."
R0122,squat,ovulatory,prioritise_recovery,0,8,0,84,low,declining,any,main_plus_cycle,"Your fatigue level suggests recovery should be the main focus after this session. During the ovulatory phase, energy may feel higher. Since you completed {reps} reps, you could consider a small progression next time, but avoid sacrificing knee tracking."
R0123,squat,ovulatory,improve_symmetry,0,50,0,100,any,improving,high_diff,main_plus_cycle,"Your symmetry difference suggests one side may be working harder than the other. Slow down and match both sides evenly. Your ovulatory-phase feedback suggests this could be a stronger training window. If your joints feel stable and form stays high, gradually increase challenge rather than making a large jump."
R0124,squat,ovulatory,improve_symmetry,0,50,0,100,any,any,high_diff,main_plus_cycle,"For your next {exercise}, prioritise balanced movement rather than increasing reps. Because this phase can coincide with higher energy for some users, use the session to push carefully. Keep movement quality high and avoid rushing the {exercise}."
R0125,squat,ovulatory,improve_range_of_motion,0,50,55,89,any,any,any,main_plus_cycle,"Your joint angle range suggests the movement may be slightly restricted. Focus on a comfortable full range of motion. During the ovulatory phase, energy may feel higher. Since you completed {reps} reps, you could consider a small progression next time, but avoid sacrificing hip stability."
R0126,squat,ovulatory,improve_range_of_motion,0,50,55,89,medium,declining,any,main_plus_cycle,"Your joint angle range suggests the movement may be slightly restricted. Focus on a comfortable full range of motion. Because this phase can coincide with higher energy for some users, use the session to push carefully. Keep movement quality high and avoid rushing the {exercise}."
R0127,squat,ovulatory,progress_gradually,7,50,80,100,high,stable,any,main_plus_cycle,"This is a good base to progress from, as long as your form and recovery stay consistent. Because this phase can coincide with higher energy for some users, use the session to push carefully. Keep movement quality high and avoid rushing the {exercise}."
R0128,squat,ovulatory,progress_gradually,7,50,80,100,high,improving,any,main_plus_cycle,"You are showing signs of progress, but keep increases small and controlled. Your ovulatory-phase feedback suggests this could be a stronger training window. If your joints feel stable and form stays high, gradually increase challenge rather than making a large jump."
R0129,squat,luteal,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"You only completed {reps} reps and your form score was {form_score}, so reduce intensity and focus on controlled, safe movement. Because this session is in the luteal phase, performance dips can be normal. Prioritise consistency, hydration, protein, and slower controlled reps rather than chasing a personal best."
R0130,squat,luteal,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"You only completed {reps} reps and your form score was {form_score}, so reduce intensity and focus on controlled, safe movement. In the luteal phase, fatigue, mood, and recovery needs may increase for some users. If {reps} reps felt difficult, reduce intensity slightly, increase rest, and focus on steady technique."
R0131,squat,luteal,focus_control,0,50,55,89,high,declining,any,main_plus_cycle,"Your form was not poor, but it needs more consistency. Slow the movement down and reset between reps. If bloating, tiredness, or low motivation affected today’s workout, adjust the session rather than forcing intensity. A lighter session with good control is still useful progress."
R0132,squat,luteal,focus_control,0,50,55,89,high,any,any,main_plus_cycle,"Your {exercise} would benefit from slower reps and better control, especially around knee tracking. Because this session is in the luteal phase, performance dips can be normal. Prioritise consistency, hydration, protein, and slower controlled reps rather than chasing a personal best."
R0133,squat,luteal,maintain_quality,7,50,80,100,any,declining,any,main_plus_cycle,"Good session. The priority now is keeping the same standard across more reps without losing control. In the luteal phase, fatigue, mood, and recovery needs may increase for some users. If {reps} reps felt difficult, reduce intensity slightly, increase rest, and focus on steady technique."
R0134,squat,luteal,maintain_quality,7,50,80,100,medium,any,any,main_plus_cycle,"Your form score was strong, so maintain this quality and keep the same controlled rhythm next session. If bloating, tiredness, or low motivation affected today’s workout, adjust the session rather than forcing intensity. A lighter session with good control is still useful progress."
R0135,squat,luteal,increase_challenge,7,50,80,100,low,declining,any,main_plus_cycle,"Your session suggests you may be ready to progress. Add difficulty gradually while keeping depth control stable. In the luteal phase, fatigue, mood, and recovery needs may increase for some users. If {reps} reps felt difficult, reduce intensity slightly, increase rest, and focus on steady technique."
R0136,squat,luteal,increase_challenge,7,50,80,100,any,stable,any,main_plus_cycle,"This was a strong performance. Consider slightly increasing reps or resistance if recovery feels good. In the luteal phase, fatigue, mood, and recovery needs may increase for some users. If {reps} reps felt difficult, reduce intensity slightly, increase rest, and focus on steady technique."
R0137,squat,luteal,prioritise_recovery,0,8,0,84,high,declining,any,main_plus_cycle,"Because fatigue appears elevated, keep the next session lighter and focus on feeling recovered. Because this session is in the luteal phase, performance dips can be normal. Prioritise consistency, hydration, protein, and slower controlled reps rather than chasing a personal best."
R0138,squat,luteal,prioritise_recovery,0,8,0,84,high,declining,any,main_plus_cycle,"Because fatigue appears elevated, keep the next session lighter and focus on feeling recovered. In the luteal phase, fatigue, mood, and recovery needs may increase for some users. If {reps} reps felt difficult, reduce intensity slightly, increase rest, and focus on steady technique."
R0139,squat,luteal,improve_symmetry,0,50,0,100,any,any,high_diff,main_plus_cycle,"Your symmetry difference suggests one side may be working harder than the other. Slow down and match both sides evenly. Because this session is in the luteal phase, performance dips can be normal. Prioritise consistency, hydration, protein, and slower controlled reps rather than chasing a personal best."
R0140,squat,luteal,improve_symmetry,0,50,0,100,medium,stable,high_diff,main_plus_cycle,"For your next {exercise}, prioritise balanced movement rather than increasing reps. Your luteal-phase feedback should be supportive rather than pushy. Keep the {exercise} manageable, rest longer if needed, and focus on maintaining form quality."
R0141,squat,luteal,improve_range_of_motion,0,50,55,89,any,declining,any,main_plus_cycle,"Range of motion should be the main focus next time. Use lighter intensity if needed to move cleanly. Your luteal-phase feedback should be supportive rather than pushy. Keep the {exercise} manageable, rest longer if needed, and focus on maintaining form quality."
R0142,squat,luteal,improve_range_of_motion,0,50,55,89,high,declining,any,main_plus_cycle,"Try to complete each rep through a smoother, more consistent range without forcing the joint position. Your luteal-phase feedback should be supportive rather than pushy. Keep the {exercise} manageable, rest longer if needed, and focus on maintaining form quality."
R0143,squat,luteal,progress_gradually,7,50,80,100,medium,declining,any,main_plus_cycle,"This is a good base to progress from, as long as your form and recovery stay consistent. Because this session is in the luteal phase, performance dips can be normal. Prioritise consistency, hydration, protein, and slower controlled reps rather than chasing a personal best."
R0144,squat,luteal,progress_gradually,7,50,80,100,any,improving,any,main_plus_cycle,"You are showing signs of progress, but keep increases small and controlled. Because this session is in the luteal phase, performance dips can be normal. Prioritise consistency, hydration, protein, and slower controlled reps rather than chasing a personal best."
R0145,squat,skip,reduce_intensity,0,8,0,84,medium,declining,any,main_plus_cycle,"Your performance data points towards lowering the challenge for now. Aim for cleaner reps before increasing weight or volume. Cycle-aware coaching is off for this session, so focus on your movement data: reps, form quality, symmetry, and fatigue. Adjust intensity based on how controlled the exercise felt."
R0146,squat,skip,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"You only completed {reps} reps and your form score was {form_score}, so reduce intensity and focus on controlled, safe movement. No cycle phase was selected, so this feedback is based mainly on performance. Use your rep count, form score, and fatigue level to decide whether to maintain, reduce, or progress intensity."
R0147,squat,skip,focus_control,0,50,55,89,medium,declining,any,main_plus_cycle,"Your form was not poor, but it needs more consistency. Slow the movement down and reset between reps. No cycle phase was selected, so this feedback is based mainly on performance. Use your rep count, form score, and fatigue level to decide whether to maintain, reduce, or progress intensity."
R0148,squat,skip,focus_control,0,50,55,89,any,declining,any,main_plus_cycle,"Your {exercise} would benefit from slower reps and better control, especially around hip stability. Without cycle data, the safest recommendation is to follow your form and fatigue signals. Keep the movement controlled and progress only when the session feels stable."
R0149,squat,skip,maintain_quality,7,50,80,100,low,stable,any,main_plus_cycle,"Good session. The priority now is keeping the same standard across more reps without losing control. Without cycle data, the safest recommendation is to follow your form and fatigue signals. Keep the movement controlled and progress only when the session feels stable."
R0150,squat,skip,maintain_quality,7,50,80,100,low,declining,any,main_plus_cycle,"Your technique looked consistent. Keep using this as your baseline before adding more challenge. Since cycle tracking was skipped, use general recovery cues. If {reps} reps felt unusually hard, consider rest, hydration, and reducing intensity next time."
R0151,squat,skip,increase_challenge,7,50,80,100,medium,any,any,main_plus_cycle,"This was a strong performance. Consider slightly increasing reps or resistance if recovery feels good. No cycle phase was selected, so this feedback is based mainly on performance. Use your rep count, form score, and fatigue level to decide whether to maintain, reduce, or progress intensity."
R0152,squat,skip,increase_challenge,7,50,80,100,low,declining,any,main_plus_cycle,"You completed {reps} reps with strong form, so a small increase in challenge may be appropriate next time. Cycle-aware coaching is off for this session, so focus on your movement data: reps, form quality, symmetry, and fatigue. Adjust intensity based on how controlled the exercise felt."
R0153,squat,skip,prioritise_recovery,0,8,0,84,medium,declining,any,main_plus_cycle,"Because fatigue appears elevated, keep the next session lighter and focus on feeling recovered. No cycle phase was selected, so this feedback is based mainly on performance. Use your rep count, form score, and fatigue level to decide whether to maintain, reduce, or progress intensity."
R0154,squat,skip,prioritise_recovery,0,8,0,84,low,declining,any,main_plus_cycle,"Your fatigue level suggests recovery should be the main focus after this session. Since cycle tracking was skipped, use general recovery cues. If {reps} reps felt unusually hard, consider rest, hydration, and reducing intensity next time."
R0155,squat,skip,improve_symmetry,0,50,0,100,low,improving,high_diff,main_plus_cycle,"For your next {exercise}, prioritise balanced movement rather than increasing reps. Since cycle tracking was skipped, use general recovery cues. If {reps} reps felt unusually hard, consider rest, hydration, and reducing intensity next time."
R0156,squat,skip,improve_symmetry,0,50,0,100,medium,improving,high_diff,main_plus_cycle,"For your next {exercise}, prioritise balanced movement rather than increasing reps. No cycle phase was selected, so this feedback is based mainly on performance. Use your rep count, form score, and fatigue level to decide whether to maintain, reduce, or progress intensity."
R0157,squat,skip,improve_range_of_motion,0,50,55,89,medium,any,any,main_plus_cycle,"Your joint angle range suggests the movement may be slightly restricted. Focus on a comfortable full range of motion. No cycle phase was selected, so this feedback is based mainly on performance. Use your rep count, form score, and fatigue level to decide whether to maintain, reduce, or progress intensity."
R0158,squat,skip,improve_range_of_motion,0,50,55,89,high,declining,any,main_plus_cycle,"Your joint angle range suggests the movement may be slightly restricted. Focus on a comfortable full range of motion. No cycle phase was selected, so this feedback is based mainly on performance. Use your rep count, form score, and fatigue level to decide whether to maintain, reduce, or progress intensity."
R0159,squat,skip,progress_gradually,7,50,80,100,low,stable,any,main_plus_cycle,"You are showing signs of progress, but keep increases small and controlled. Since cycle tracking was skipped, use general recovery cues. If {reps} reps felt unusually hard, consider rest, hydration, and reducing intensity next time."
R0160,squat,skip,progress_gradually,7,50,80,100,high,declining,any,main_plus_cycle,"You are showing signs of progress, but keep increases small and controlled. Since cycle tracking was skipped, use general recovery cues. If {reps} reps felt unusually hard, consider rest, hydration, and reducing intensity next time."
R0161,lunge,menstrual,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"You only completed {reps} reps and your form score was {form_score}, so reduce intensity and focus on controlled, safe movement. Your menstrual-phase feedback should be recovery-led today. If cramps, fatigue, or heaviness affected your {exercise}, lower the intensity and choose steady reps rather than forcing progression."
R0162,lunge,menstrual,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"This session suggests the exercise may have been too demanding today. Keep the {exercise} lighter and prioritise balance. As you selected the menstrual phase, the lower rep count may reflect reduced energy or discomfort today. Keep the load lighter, rest longer between sets, hydrate well, and consider iron-rich foods such as leafy greens, beans, lentils, red meat, or fortified cereal."
R0163,lunge,menstrual,focus_control,0,50,55,89,high,any,any,main_plus_cycle,"Focus on technique over speed next time. Keep each rep smooth and avoid rushing the movement. Because this session is in the menstrual phase, prioritise comfort over intensity. If {reps} reps felt harder than usual, use controlled movement, avoid pushing to failure, and support recovery with fluids and iron-rich meals."
R0164,lunge,menstrual,focus_control,0,50,55,89,medium,declining,any,main_plus_cycle,"Focus on technique over speed next time. Keep each rep smooth and avoid rushing the movement. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0165,lunge,menstrual,maintain_quality,7,50,80,100,any,declining,any,main_plus_cycle,"Good session. The priority now is keeping the same standard across more reps without losing control. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0166,lunge,menstrual,maintain_quality,7,50,80,100,high,improving,any,main_plus_cycle,"Your form score was strong, so maintain this quality and keep the same controlled rhythm next session. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0167,lunge,menstrual,increase_challenge,7,50,80,100,medium,any,any,main_plus_cycle,"You completed {reps} reps with strong form, so a small increase in challenge may be appropriate next time. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0168,lunge,menstrual,increase_challenge,7,50,80,100,low,improving,any,main_plus_cycle,"You completed {reps} reps with strong form, so a small increase in challenge may be appropriate next time. Because this session is in the menstrual phase, prioritise comfort over intensity. If {reps} reps felt harder than usual, use controlled movement, avoid pushing to failure, and support recovery with fluids and iron-rich meals."
R0169,lunge,menstrual,prioritise_recovery,0,8,0,84,high,declining,any,main_plus_cycle,"Your fatigue level suggests recovery should be the main focus after this session. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0170,lunge,menstrual,prioritise_recovery,0,8,0,84,high,declining,any,main_plus_cycle,"Today looks more like a maintenance session. Rest, hydrate, and avoid pushing extra volume. Because this session is in the menstrual phase, prioritise comfort over intensity. If {reps} reps felt harder than usual, use controlled movement, avoid pushing to failure, and support recovery with fluids and iron-rich meals."
R0171,lunge,menstrual,improve_symmetry,0,50,0,100,any,declining,high_diff,main_plus_cycle,"For your next {exercise}, prioritise balanced movement rather than increasing reps. As you selected the menstrual phase, the lower rep count may reflect reduced energy or discomfort today. Keep the load lighter, rest longer between sets, hydrate well, and consider iron-rich foods such as leafy greens, beans, lentils, red meat, or fortified cereal."
R0172,lunge,menstrual,improve_symmetry,0,50,0,100,low,improving,high_diff,main_plus_cycle,"Your symmetry difference suggests one side may be working harder than the other. Slow down and match both sides evenly. As you selected the menstrual phase, the lower rep count may reflect reduced energy or discomfort today. Keep the load lighter, rest longer between sets, hydrate well, and consider iron-rich foods such as leafy greens, beans, lentils, red meat, or fortified cereal."
R0173,lunge,menstrual,improve_range_of_motion,0,50,55,89,low,any,any,main_plus_cycle,"Your joint angle range suggests the movement may be slightly restricted. Focus on a comfortable full range of motion. Your menstrual-phase feedback should be recovery-led today. If cramps, fatigue, or heaviness affected your {exercise}, lower the intensity and choose steady reps rather than forcing progression."
R0174,lunge,menstrual,improve_range_of_motion,0,50,55,89,medium,declining,any,main_plus_cycle,"Try to complete each rep through a smoother, more consistent range without forcing the joint position. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0175,lunge,menstrual,progress_gradually,7,50,80,100,low,declining,any,main_plus_cycle,"Build gradually from this session. Add reps or resistance slowly rather than jumping too quickly. As you selected the menstrual phase, the lower rep count may reflect reduced energy or discomfort today. Keep the load lighter, rest longer between sets, hydrate well, and consider iron-rich foods such as leafy greens, beans, lentils, red meat, or fortified cereal."
R0176,lunge,menstrual,progress_gradually,7,50,80,100,medium,any,any,main_plus_cycle,"Build gradually from this session. Add reps or resistance slowly rather than jumping too quickly. Your menstrual-phase feedback should be recovery-led today. If cramps, fatigue, or heaviness affected your {exercise}, lower the intensity and choose steady reps rather than forcing progression."
R0177,lunge,follicular,reduce_intensity,0,8,0,84,any,declining,any,main_plus_cycle,"You only completed {reps} reps and your form score was {form_score}, so reduce intensity and focus on controlled, safe movement. In the follicular phase, some users feel energy gradually returning. With {reps} reps completed, this may be a good time to rebuild consistency, but only increase difficulty if your form remains controlled."
R0178,lunge,follicular,reduce_intensity,0,8,0,84,any,declining,any,main_plus_cycle,"Your performance data points towards lowering the challenge for now. Aim for cleaner reps before increasing weight or volume. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping even leg drive as the priority."
R0179,lunge,follicular,focus_control,0,50,55,89,low,declining,any,main_plus_cycle,"Your {exercise} would benefit from slower reps and better control, especially around front knee alignment. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping front knee alignment as the priority."
R0180,lunge,follicular,focus_control,0,50,55,89,any,any,any,main_plus_cycle,"Your form was not poor, but it needs more consistency. Slow the movement down and reset between reps. Your follicular-phase session can focus on building momentum. Use today’s {reps} reps as a baseline and slowly increase volume or resistance if recovery feels good."
R0181,lunge,follicular,maintain_quality,7,50,80,100,high,any,any,main_plus_cycle,Your technique looked consistent. Keep using this as your baseline before adding more challenge. Your follicular-phase session can focus on building momentum. Use today’s {reps} reps as a baseline and slowly increase volume or resistance if recovery feels good.
R0182,lunge,follicular,maintain_quality,7,50,80,100,low,declining,any,main_plus_cycle,"Good session. The priority now is keeping the same standard across more reps without losing control. In the follicular phase, some users feel energy gradually returning. With {reps} reps completed, this may be a good time to rebuild consistency, but only increase difficulty if your form remains controlled."
R0183,lunge,follicular,increase_challenge,7,50,80,100,any,declining,any,main_plus_cycle,"You completed {reps} reps with strong form, so a small increase in challenge may be appropriate next time. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping even leg drive as the priority."
R0184,lunge,follicular,increase_challenge,7,50,80,100,high,improving,any,main_plus_cycle,"Your session suggests you may be ready to progress. Add difficulty gradually while keeping even leg drive stable. In the follicular phase, some users feel energy gradually returning. With {reps} reps completed, this may be a good time to rebuild consistency, but only increase difficulty if your form remains controlled."
R0185,lunge,follicular,prioritise_recovery,0,8,0,84,medium,declining,any,main_plus_cycle,"Today looks more like a maintenance session. Rest, hydrate, and avoid pushing extra volume. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping balance as the priority."
R0186,lunge,follicular,prioritise_recovery,0,8,0,84,any,declining,any,main_plus_cycle,"Today looks more like a maintenance session. Rest, hydrate, and avoid pushing extra volume. This phase may support training progression, but your form data should still lead the decision. Keep controlled descent clean before adding more reps or weight."
R0187,lunge,follicular,improve_symmetry,0,50,0,100,any,improving,high_diff,main_plus_cycle,"For your next {exercise}, prioritise balanced movement rather than increasing reps. This phase may support training progression, but your form data should still lead the decision. Keep front knee alignment clean before adding more reps or weight."
R0188,lunge,follicular,improve_symmetry,0,50,0,100,any,declining,high_diff,main_plus_cycle,"Your symmetry difference suggests one side may be working harder than the other. Slow down and match both sides evenly. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping controlled descent as the priority."
R0189,lunge,follicular,improve_range_of_motion,0,50,55,89,high,stable,any,main_plus_cycle,"Try to complete each rep through a smoother, more consistent range without forcing the joint position. This phase may support training progression, but your form data should still lead the decision. Keep controlled descent clean before adding more reps or weight."
R0190,lunge,follicular,improve_range_of_motion,0,50,55,89,any,any,any,main_plus_cycle,"Range of motion should be the main focus next time. Use lighter intensity if needed to move cleanly. This phase may support training progression, but your form data should still lead the decision. Keep balance clean before adding more reps or weight."
R0191,lunge,follicular,progress_gradually,7,50,80,100,low,any,any,main_plus_cycle,"Build gradually from this session. Add reps or resistance slowly rather than jumping too quickly. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping controlled descent as the priority."
R0192,lunge,follicular,progress_gradually,7,50,80,100,low,any,any,main_plus_cycle,"This is a good base to progress from, as long as your form and recovery stay consistent. Your follicular-phase session can focus on building momentum. Use today’s {reps} reps as a baseline and slowly increase volume or resistance if recovery feels good."
R0193,lunge,ovulatory,reduce_intensity,0,8,0,84,low,declining,any,main_plus_cycle,"You only completed {reps} reps and your form score was {form_score}, so reduce intensity and focus on controlled, safe movement. Your ovulatory-phase feedback suggests this could be a stronger training window. If your joints feel stable and form stays high, gradually increase challenge rather than making a large jump."
R0194,lunge,ovulatory,reduce_intensity,0,8,0,84,medium,declining,any,main_plus_cycle,"This session suggests the exercise may have been too demanding today. Keep the {exercise} lighter and prioritise controlled descent. Because this phase can coincide with higher energy for some users, use the session to push carefully. Keep movement quality high and avoid rushing the {exercise}."
R0195,lunge,ovulatory,focus_control,0,50,55,89,medium,declining,any,main_plus_cycle,"Your {exercise} would benefit from slower reps and better control, especially around even leg drive. During the ovulatory phase, energy may feel higher. Since you completed {reps} reps, you could consider a small progression next time, but avoid sacrificing even leg drive."
R0196,lunge,ovulatory,focus_control,0,50,55,89,any,improving,any,main_plus_cycle,"Your form was not poor, but it needs more consistency. Slow the movement down and reset between reps. Your ovulatory-phase feedback suggests this could be a stronger training window. If your joints feel stable and form stays high, gradually increase challenge rather than making a large jump."
R0197,lunge,ovulatory,maintain_quality,7,50,80,100,any,improving,any,main_plus_cycle,"Your technique looked consistent. Keep using this as your baseline before adding more challenge. Your ovulatory-phase feedback suggests this could be a stronger training window. If your joints feel stable and form stays high, gradually increase challenge rather than making a large jump."
R0198,lunge,ovulatory,maintain_quality,7,50,80,100,medium,improving,any,main_plus_cycle,"Your form score was strong, so maintain this quality and keep the same controlled rhythm next session. Your ovulatory-phase feedback suggests this could be a stronger training window. If your joints feel stable and form stays high, gradually increase challenge rather than making a large jump."
R0199,lunge,ovulatory,increase_challenge,7,50,80,100,low,any,any,main_plus_cycle,"Your session suggests you may be ready to progress. Add difficulty gradually while keeping balance stable. Because this phase can coincide with higher energy for some users, use the session to push carefully. Keep movement quality high and avoid rushing the {exercise}."
