user_level,exercise,cycle_phase,form_score,reps,left_angle,right_angle,symmetry_diff,fatigue_level,performance_trend,coaching_label
advanced,squat,menstrual,46,8,165.1,169.9,4.8,medium,declining,reduce_intensity
advanced,lunge,skip,75,16,167.1,161.7,5.4,low,stable,maintain_quality
intermediate,lunge,follicular,67,15,102.0,104.3,2.3,high,declining,focus_control
beginner,shoulder_press,skip,40,9,114.4,119.4,5.0,medium,stable,reduce_intensity
beginner,squat,skip,60,9,132.0,127.2,4.8,low,stable,focus_control
intermediate,bicep_curl,skip,65,6,124.4,131.3,6.9,medium,declining,focus_control
advanced,lunge,ovulatory,45,7,121.9,116.7,5.2,high,declining,reduce_intensity
beginner,lunge,ovulatory,72,15,129.3,122.1,7.2,high,improving,focus_control
intermediate,shoulder_press,follicular,74,8,138.8,138.6,0.2,medium,declining,maintain_quality
beginner,lunge,ovulatory,43,14,166.6,166.3,0.3,medium,declining,reduce_intensity
beginner,shoulder_press,skip,71,16,147.9,146.2,1.7,high,declining,focus_control
intermediate,shoulder_press,follicular,41,10,120.4,115.9,4.5,low,declining,reduce_intensity
advanced,bicep_curl,follicular,87,18,138.5,130.8,7.7,medium,declining,progress_gradually
beginner,bicep_curl,skip,92,4,153.2,152.0,1.2,medium,declining,progress_gradually
beginner,shoulder_press,menstrual,88,10,120.8,130.8,10.0,high,declining,prioritise_recovery
intermediate,bicep_curl,ovulatory,95,6,154.3,149.0,5.3,low,stable,progress_gradually
advanced,bicep_curl,skip,50,7,154.9,161.2,6.3,high,stable,reduce_intensity
beginner,bicep_curl,skip,74,8,122.7,126.8,4.1,medium,declining,maintain_quality
intermediate,bicep_curl,skip,48,16,164.3,174.1,9.8,high,improving,reduce_intensity
advanced,lunge,follicular,85,13,158.0,163.2,5.2,low,improving,progress_gradually
advanced,shoulder_press,luteal,80,11,143.9,141.4,2.5,low,declining,progress_gradually
beginner,squat,luteal,57,14,131.8,131.6,0.2,high,declining,prioritise_recovery
advanced,squat,menstrual,80,14,159.5,165.4,5.9,high,stable,maintain_quality
intermediate,lunge,luteal,57,13,158.0,154.8,3.2,low,stable,reduce_intensity
advanced,lunge,skip,97,4,103.2,105.7,2.5,medium,stable,progress_gradually
intermediate,squat,menstrual,69,3,169.4,168.0,1.4,low,stable,focus_control
advanced,lunge,ovulatory,45,14,117.5,114.9,2.6,low,stable,reduce_intensity
advanced,lunge,menstrual,59,10,130.0,121.8,8.2,medium,declining,focus_control
beginner,squat,follicular,48,10,136.4,135.3,1.1,medium,improving,reduce_intensity
beginner,bicep_curl,menstrual,48,18,105.0,102.7,2.3,medium,declining,reduce_intensity
advanced,squat,menstrual,96,12,109.6,115.1,5.5,medium,stable,progress_gradually
beginner,lunge,menstrual,40,8,130.8,135.2,4.4,high,declining,prioritise_recovery
advanced,lunge,luteal,68,9,106.1,98.1,8.0,high,declining,prioritise_recovery
beginner,shoulder_press,ovulatory,90,7,117.3,120.2,2.9,medium,stable,progress_gradually
beginner,bicep_curl,menstrual,53,19,142.5,136.3,6.2,high,stable,reduce_intensity
intermediate,bicep_curl,menstrual,64,6,116.9,119.7,2.8,low,stable,focus_control
beginner,squat,ovulatory,64,16,125.6,129.3,3.7,medium,improving,focus_control
intermediate,squat,menstrual,40,11,115.1,123.6,8.5,high,improving,reduce_intensity
intermediate,bicep_curl,skip,84,15,105.8,106.5,0.7,medium,stable,progress_gradually
advanced,lunge,ovulatory,45,19,164.5,174.0,9.5,low,stable,reduce_intensity
beginner,bicep_curl,luteal,88,5,121.7,120.4,1.3,high,declining,prioritise_recovery
beginner,squat,follicular,47,17,142.9,134.0,8.9,low,stable,reduce_intensity
advanced,lunge,menstrual,48,3,111.5,120.6,9.1,low,declining,reduce_intensity
advanced,bicep_curl,follicular,87,11,151.3,143.7,7.6,medium,improving,progress_gradually
beginner,bicep_curl,luteal,44,11,149.9,151.4,1.5,medium,declining,reduce_intensity
beginner,shoulder_press,luteal,43,18,160.2,153.5,6.7,high,stable,reduce_intensity
beginner,bicep_curl,menstrual,86,6,116.0,116.2,0.2,high,declining,prioritise_recovery
beginner,squat,follicular,63,15,164.4,158.0,6.4,low,stable,focus_control
beginner,shoulder_press,follicular,66,13,119.0,110.6,8.4,medium,improving,focus_control
intermediate,squat,skip,51,10,156.3,165.9,9.6,high,improving,reduce_intensity
intermediate,squat,luteal,60,5,138.7,128.9,9.8,medium,stable,focus_control
beginner,bicep_curl,skip,79,10,132.5,134.3,1.8,medium,declining,progress_gradually
intermediate,lunge,skip,40,16,101.7,102.5,0.8,low,improving,reduce_intensity
advanced,squat,ovulatory,64,12,107.3,107.9,0.6,low,declining,focus_control
beginner,shoulder_press,luteal,85,11,106.5,114.9,8.4,low,improving,progress_gradually
advanced,shoulder_press,ovulatory,45,6,135.4,138.1,2.7,medium,declining,reduce_intensity
intermediate,squat,skip,67,7,116.6,111.8,4.8,high,improving,focus_control
intermediate,shoulder_press,ovulatory,57,10,105.2,99.3,5.9,medium,stable,reduce_intensity
advanced,squat,follicular,68,17,122.0,114.4,7.6,low,improving,focus_control
intermediate,lunge,luteal,56,6,106.3,112.5,6.2,medium,stable,reduce_intensity
intermediate,squat,follicular,45,10,167.8,165.7,2.1,medium,improving,reduce_intensity
beginner,bicep_curl,ovulatory,100,15,159.8,160.9,1.1,low,improving,increase_challenge
advanced,lunge,menstrual,91,7,108.5,99.7,8.8,medium,improving,progress_gradually
beginner,lunge,follicular,83,5,140.8,136.0,4.8,medium,stable,progress_gradually
beginner,squat,menstrual,68,7,106.4,113.3,6.9,low,declining,focus_control
intermediate,squat,menstrual,50,16,157.5,155.4,2.1,medium,improving,reduce_intensity
beginner,shoulder_press,luteal,53,8,119.2,118.1,1.1,low,stable,reduce_intensity
beginner,squat,skip,55,12,134.9,142.6,7.7,high,declining,reduce_intensity
intermediate,squat,menstrual,48,16,114.0,121.7,7.7,medium,stable,reduce_intensity
advanced,lunge,skip,90,14,133.6,139.2,5.6,low,stable,progress_gradually
intermediate,bicep_curl,luteal,41,13,141.8,132.4,9.4,medium,improving,reduce_intensity
intermediate,squat,luteal,89,10,168.2,160.2,8.0,high,stable,maintain_quality
advanced,lunge,ovulatory,43,10,140.3,150.0,9.7,high,declining,reduce_intensity
intermediate,bicep_curl,follicular,77,13,156.4,160.4,4.0,low,improving,maintain_quality
advanced,squat,ovulatory,49,9,158.6,164.8,6.2,high,declining,reduce_intensity
intermediate,bicep_curl,follicular,45,4,116.3,110.7,5.6,medium,improving,reduce_intensity
advanced,shoulder_press,menstrual,52,7,123.9,117.4,6.5,medium,declining,reduce_intensity
intermediate,squat,menstrual,85,7,154.2,161.1,6.9,low,declining,progress_gradually
intermediate,squat,ovulatory,65,6,123.6,120.1,3.5,high,declining,focus_control
beginner,shoulder_press,luteal,51,20,148.5,157.1,8.6,high,stable,reduce_intensity
intermediate,lunge,skip,59,12,108.9,113.5,4.6,low,stable,focus_control
advanced,shoulder_press,skip,78,13,164.5,173.9,9.4,low,improving,progress_gradually
beginner,squat,luteal,87,5,116.7,126.3,9.6,low,stable,progress_gradually
beginner,squat,ovulatory,56,9,117.5,108.9,8.6,medium,improving,reduce_intensity
intermediate,squat,menstrual,68,16,167.8,175.5,7.7,low,stable,focus_control
intermediate,shoulder_press,ovulatory,46,18,155.2,156.8,1.6,high,stable,reduce_intensity
advanced,lunge,follicular,91,4,120.6,117.0,3.6,medium,improving,progress_gradually
beginner,squat,ovulatory,50,5,138.3,146.3,8.0,low,stable,reduce_intensity
beginner,bicep_curl,skip,85,3,130.2,133.3,3.1,high,stable,maintain_quality
advanced,shoulder_press,follicular,61,9,168.2,166.4,1.8,low,improving,focus_control
advanced,bicep_curl,ovulatory,46,4,127.5,128.5,1.0,medium,improving,reduce_intensity
intermediate,lunge,menstrual,67,5,120.6,123.8,3.2,medium,improving,focus_control
advanced,shoulder_press,follicular,53,8,144.7,154.2,9.5,low,improving,reduce_intensity
intermediate,squat,ovulatory,71,11,106.4,107.3,0.9,medium,stable,focus_control
beginner,bicep_curl,luteal,68,4,118.4,117.7,0.7,medium,improving,focus_control
beginner,bicep_curl,skip,88,6,106.0,102.9,3.1,low,improving,increase_challenge
advanced,shoulder_press,skip,43,15,157.3,155.7,1.6,low,declining,reduce_intensity
advanced,shoulder_press,skip,59,5,127.6,134.7,7.1,low,stable,focus_control
beginner,lunge,menstrual,100,8,168.1,174.3,6.2,medium,improving,progress_gradually
beginner,squat,luteal,67,9,169.8,172.3,2.5,low,declining,focus_control
advanced,bicep_curl,ovulatory,45,15,138.9,139.9,1.0,high,improving,reduce_intensity
intermediate,shoulder_press,menstrual,77,19,154.7,147.0,7.7,high,declining,prioritise_recovery
beginner,lunge,skip,88,6,164.7,166.0,1.3,high,declining,maintain_quality
beginner,bicep_curl,skip,56,15,145.8,147.2,1.4,medium,stable,reduce_intensity
intermediate,squat,follicular,49,15,102.7,110.5,7.8,medium,stable,reduce_intensity
intermediate,lunge,menstrual,98,11,162.8,153.2,9.6,high,stable,improve_range_of_motion
intermediate,bicep_curl,ovulatory,83,6,168.1,162.7,5.4,medium,declining,progress_gradually
intermediate,shoulder_press,ovulatory,66,5,113.2,107.4,5.8,medium,declining,focus_control
intermediate,shoulder_press,skip,72,8,104.6,108.8,4.2,medium,improving,focus_control
intermediate,lunge,skip,51,9,161.3,155.3,6.0,high,improving,reduce_intensity
beginner,lunge,menstrual,98,14,149.3,144.8,4.5,medium,improving,progress_gradually
intermediate,shoulder_press,menstrual,55,14,134.2,133.1,1.1,high,improving,reduce_intensity
intermediate,bicep_curl,ovulatory,87,5,120.0,117.7,2.3,low,stable,progress_gradually
beginner,lunge,follicular,83,9,118.8,117.0,1.8,high,improving,maintain_quality
beginner,squat,luteal,51,3,115.7,117.9,2.2,low,declining,reduce_intensity
intermediate,bicep_curl,luteal,69,11,115.3,111.3,4.0,medium,stable,focus_control
advanced,shoulder_press,skip,72,14,139.3,141.2,1.9,low,improving,focus_control
intermediate,bicep_curl,menstrual,61,11,144.8,152.0,7.2,medium,improving,focus_control
intermediate,bicep_curl,follicular,88,10,163.0,169.1,6.1,low,declining,progress_gradually
advanced,shoulder_press,ovulatory,86,3,145.9,155.8,9.9,high,improving,improve_range_of_motion
intermediate,shoulder_press,luteal,42,9,124.0,128.3,4.3,medium,declining,reduce_intensity
advanced,shoulder_press,ovulatory,94,8,158.8,166.3,7.5,high,stable,maintain_quality
beginner,bicep_curl,menstrual,87,11,150.8,152.0,1.2,medium,improving,progress_gradually
beginner,bicep_curl,menstrual,54,12,129.4,137.1,7.7,low,stable,reduce_intensity
intermediate,bicep_curl,skip,94,6,132.9,140.2,7.3,medium,stable,progress_gradually
advanced,squat,luteal,47,15,137.1,135.4,1.7,low,declining,reduce_intensity
beginner,lunge,follicular,76,17,110.0,117.2,7.2,medium,stable,maintain_quality
beginner,squat,luteal,51,13,144.4,134.5,9.9,medium,declining,reduce_intensity
intermediate,lunge,follicular,71,5,109.1,107.8,1.3,high,improving,focus_control
intermediate,shoulder_press,luteal,40,4,137.4,142.0,4.6,medium,stable,reduce_intensity
beginner,bicep_curl,skip,83,3,143.9,138.9,5.0,low,improving,progress_gradually
advanced,bicep_curl,ovulatory,64,19,141.2,134.5,6.7,low,improving,focus_control
beginner,bicep_curl,ovulatory,73,19,123.6,131.4,7.8,medium,declining,maintain_quality
beginner,bicep_curl,luteal,50,15,101.3,95.8,5.5,medium,improving,reduce_intensity
beginner,lunge,menstrual,50,6,125.7,128.7,3.0,high,declining,prioritise_recovery
beginner,shoulder_press,ovulatory,43,4,146.3,149.4,3.1,high,declining,reduce_intensity
beginner,squat,menstrual,64,6,138.3,137.8,0.5,medium,stable,focus_control
beginner,lunge,menstrual,82,6,146.4,141.8,4.6,medium,stable,progress_gradually
advanced,lunge,luteal,86,6,119.8,125.5,5.7,low,declining,progress_gradually
intermediate,lunge,skip,93,19,168.1,165.3,2.8,low,stable,progress_gradually
intermediate,bicep_curl,follicular,71,9,148.2,147.8,0.4,low,declining,focus_control
beginner,squat,menstrual,98,6,158.5,161.9,3.4,high,improving,maintain_quality
beginner,squat,skip,86,6,163.3,166.2,2.9,low,declining,progress_gradually
intermediate,bicep_curl,ovulatory,46,8,161.2,168.2,7.0,medium,improving,reduce_intensity
intermediate,bicep_curl,luteal,46,4,100.7,93.5,7.2,high,improving,reduce_intensity
advanced,lunge,ovulatory,79,11,161.5,153.4,8.1,medium,stable,progress_gradually
intermediate,lunge,menstrual,69,11,158.5,162.3,3.8,medium,stable,focus_control
intermediate,shoulder_press,follicular,84,4,168.7,175.6,6.9,low,improving,progress_gradually
beginner,shoulder_press,skip,83,17,112.7,110.3,2.4,medium,declining,progress_gradually
intermediate,squat,follicular,47,16,130.8,122.1,8.7,medium,stable,reduce_intensity
advanced,bicep_curl,menstrual,73,10,168.5,171.9,3.4,high,declining,prioritise_recovery
intermediate,squat,luteal,55,18,124.2,127.7,3.5,high,declining,prioritise_recovery
intermediate,lunge,skip,40,8,135.4,134.8,0.6,high,improving,reduce_intensity
intermediate,lunge,menstrual,55,13,167.9,158.9,9.0,medium,stable,reduce_intensity
beginner,shoulder_press,luteal,69,17,156.1,155.1,1.0,low,improving,focus_control
intermediate,shoulder_press,ovulatory,87,3,107.2,105.4,1.8,low,stable,progress_gradually
advanced,squat,menstrual,80,12,162.3,163.5,1.2,high,declining,prioritise_recovery
advanced,shoulder_press,ovulatory,92,10,159.1,155.7,3.4,medium,improving,progress_gradually
advanced,shoulder_press,ovulatory,47,6,153.2,147.6,5.6,high,stable,reduce_intensity
intermediate,bicep_curl,ovulatory,63,6,103.2,96.5,6.7,high,declining,focus_control
beginner,shoulder_press,menstrual,52,9,108.5,115.5,7.0,medium,declining,reduce_intensity
beginner,shoulder_press,follicular,46,16,103.3,106.0,2.7,high,stable,reduce_intensity
advanced,squat,luteal,77,19,109.4,109.4,0.0,medium,declining,maintain_quality
advanced,squat,skip,70,19,154.7,162.9,8.2,medium,declining,focus_control
advanced,lunge,follicular,82,13,135.3,133.0,2.3,low,stable,progress_gradually
advanced,lunge,ovulatory,58,17,156.3,149.1,7.2,medium,stable,focus_control
advanced,bicep_curl,skip,87,20,144.3,138.3,6.0,medium,declining,progress_gradually
advanced,bicep_curl,ovulatory,85,8,135.3,139.2,3.9,high,improving,maintain_quality
intermediate,squat,ovulatory,77,16,147.2,155.1,7.9,high,stable,maintain_quality
advanced,bicep_curl,luteal,46,3,126.7,117.8,8.9,low,declining,reduce_intensity
beginner,lunge,ovulatory,83,11,110.2,101.4,8.8,low,stable,progress_gradually
intermediate,lunge,skip,92,17,107.2,114.6,7.4,low,stable,progress_gradually
advanced,lunge,skip,72,12,148.5,139.4,9.1,medium,improving,focus_control
intermediate,shoulder_press,luteal,75,4,100.9,95.9,5.0,high,stable,maintain_quality
advanced,shoulder_press,follicular,85,14,152.9,153.8,0.9,high,declining,maintain_quality
advanced,lunge,follicular,51,5,113.1,106.6,6.5,medium,stable,reduce_intensity
advanced,squat,luteal,57,20,118.5,111.7,6.8,low,stable,reduce_intensity
intermediate,squat,ovulatory,99,7,102.8,111.4,8.6,medium,declining,progress_gradually
advanced,squat,skip,71,20,125.1,130.8,5.7,high,stable,focus_control
intermediate,lunge,follicular,90,19,111.2,112.1,0.9,high,improving,maintain_quality
intermediate,squat,ovulatory,82,13,123.2,119.1,4.1,low,improving,progress_gradually
advanced,shoulder_press,skip,47,14,131.2,139.3,8.1,high,improving,reduce_intensity
advanced,lunge,menstrual,64,6,127.0,127.8,0.8,high,stable,focus_control
intermediate,squat,skip,91,19,131.2,122.1,9.1,medium,declining,progress_gradually
advanced,lunge,ovulatory,100,6,111.7,120.8,9.1,high,improving,improve_range_of_motion
advanced,squat,menstrual,80,9,160.5,159.0,1.5,low,declining,progress_gradually
beginner,lunge,skip,89,16,145.3,154.1,8.8,high,declining,improve_range_of_motion
advanced,lunge,menstrual,61,4,106.1,97.2,8.9,medium,declining,focus_control
intermediate,squat,skip,66,15,131.6,129.7,1.9,low,stable,focus_control
intermediate,squat,luteal,74,3,144.9,147.3,2.4,high,improving,maintain_quality
advanced,squat,menstrual,46,12,155.1,151.1,4.0,medium,declining,reduce_intensity
beginner,bicep_curl,luteal,92,3,133.2,133.9,0.7,medium,stable,progress_gradually
beginner,shoulder_press,skip,49,12,147.4,155.7,8.3,medium,declining,reduce_intensity
advanced,bicep_curl,menstrual,49,6,102.9,104.4,1.5,high,declining,prioritise_recovery
intermediate,squat,ovulatory,87,14,114.8,122.9,8.1,low,declining,progress_gradually
advanced,lunge,follicular,79,11,113.6,107.2,6.4,low,improving,progress_gradually
advanced,squat,skip,75,5,120.3,111.6,8.7,medium,declining,improve_range_of_motion
beginner,lunge,skip,62,7,147.0,141.7,5.3,medium,stable,focus_control
intermediate,squat,follicular,68,13,143.1,139.2,3.9,medium,stable,focus_control
advanced,lunge,skip,91,13,167.1,160.5,6.6,high,stable,maintain_quality
intermediate,lunge,follicular,81,16,119.4,116.6,2.8,high,declining,maintain_quality
advanced,bicep_curl,luteal,62,12,134.1,126.3,7.8,medium,stable,focus_control
advanced,squat,ovulatory,52,11,151.3,153.8,2.5,low,declining,reduce_intensity
advanced,squat,menstrual,41,15,153.8,148.1,5.7,high,declining,prioritise_recovery
beginner,bicep_curl,skip,81,7,125.6,120.1,5.5,high,stable,maintain_quality
advanced,bicep_curl,follicular,72,5,127.8,127.8,0.0,medium,declining,focus_control
advanced,lunge,skip,88,19,109.8,103.0,6.8,high,improving,maintain_quality
advanced,lunge,luteal,54,18,116.2,111.5,4.7,medium,improving,reduce_intensity
beginner,squat,follicular,64,18,164.3,171.9,7.6,high,stable,focus_control
beginner,bicep_curl,menstrual,80,11,158.4,153.7,4.7,high,declining,prioritise_recovery
advanced,lunge,luteal,63,5,136.2,133.7,2.5,high,stable,focus_control
beginner,shoulder_press,ovulatory,90,18,162.1,152.2,9.9,medium,stable,progress_gradually
beginner,shoulder_press,follicular,72,11,114.8,108.5,6.3,low,improving,focus_control
intermediate,squat,follicular,86,6,133.7,133.3,0.4,medium,stable,progress_gradually
beginner,lunge,luteal,42,7,140.1,133.3,6.8,low,improving,reduce_intensity
advanced,squat,skip,50,11,164.6,164.9,0.3,low,improving,reduce_intensity
intermediate,squat,ovulatory,68,18,160.7,154.1,6.6,low,improving,focus_control
intermediate,lunge,skip,82,19,118.5,123.0,4.5,low,declining,progress_gradually
intermediate,shoulder_press,skip,54,15,127.0,119.2,7.8,high,improving,reduce_intensity
beginner,shoulder_press,follicular,51,18,163.1,165.1,2.0,high,improving,reduce_intensity
advanced,squat,menstrual,48,20,157.9,165.8,7.9,medium,declining,reduce_intensity
advanced,shoulder_press,skip,95,4,148.8,147.4,1.4,medium,stable,progress_gradually
intermediate,shoulder_press,ovulatory,98,6,129.8,124.9,4.9,high,declining,maintain_quality
beginner,squat,ovulatory,66,11,113.2,117.4,4.2,high,declining,focus_control
beginner,squat,skip,81,9,148.1,144.4,3.7,low,stable,progress_gradually
intermediate,squat,follicular,77,11,118.3,119.0,0.7,medium,declining,maintain_quality
advanced,bicep_curl,skip,65,9,128.9,134.6,5.7,medium,declining,focus_control
intermediate,lunge,ovulatory,70,11,169.2,170.8,1.6,high,declining,focus_control
advanced,shoulder_press,follicular,87,10,131.3,135.3,4.0,high,improving,maintain_quality
beginner,squat,follicular,90,13,156.1,158.4,2.3,high,stable,maintain_quality
advanced,squat,follicular,40,5,157.6,157.0,0.6,medium,declining,reduce_intensity
advanced,shoulder_press,menstrual,54,14,105.6,96.4,9.2,low,stable,reduce_intensity
intermediate,shoulder_press,skip,58,4,166.2,172.6,6.4,high,declining,focus_control
advanced,shoulder_press,luteal,94,19,120.0,110.7,9.3,low,improving,increase_challenge
advanced,lunge,skip,42,14,116.7,106.7,10.0,low,declining,reduce_intensity
beginner,squat,ovulatory,82,15,128.4,122.4,6.0,medium,stable,progress_gradually
beginner,squat,menstrual,86,20,164.1,161.1,3.0,high,stable,maintain_quality
intermediate,lunge,skip,99,15,140.2,135.4,4.8,low,stable,progress_gradually
intermediate,squat,skip,58,13,166.3,172.4,6.1,low,declining,focus_control
intermediate,bicep_curl,luteal,70,10,153.0,162.2,9.2,medium,declining,focus_control
intermediate,shoulder_press,skip,47,11,104.7,107.4,2.7,low,stable,reduce_intensity
beginner,lunge,ovulatory,73,20,100.7,107.3,6.6,medium,stable,maintain_quality
beginner,bicep_curl,menstrual,87,13,105.3,113.9,8.6,medium,declining,progress_gradually
intermediate,bicep_curl,ovulatory,57,8,166.3,170.0,3.7,low,declining,reduce_intensity
beginner,shoulder_press,follicular,55,11,114.5,108.6,5.9,low,declining,reduce_intensity
beginner,bicep_curl,follicular,98,5,147.3,150.6,3.3,low,improving,increase_challenge
advanced,squat,skip,63,13,134.5,144.2,9.7,low,stable,focus_control
advanced,bicep_curl,luteal,57,15,115.5,117.0,1.5,low,declining,reduce_intensity
beginner,shoulder_press,luteal,72,14,127.6,131.3,3.7,high,improving,focus_control
beginner,shoulder_press,menstrual,69,13,148.2,138.4,9.8,high,declining,prioritise_recovery
beginner,shoulder_press,skip,63,11,113.1,108.4,4.7,low,stable,focus_control
intermediate,shoulder_press,skip,51,18,129.7,128.1,1.6,medium,stable,reduce_intensity
intermediate,bicep_curl,luteal,51,7,168.5,172.2,3.7,medium,stable,reduce_intensity
beginner,bicep_curl,follicular,94,15,113.7,119.7,6.0,high,stable,maintain_quality
advanced,lunge,luteal,66,18,109.4,117.3,7.9,low,improving,focus_control
advanced,bicep_curl,luteal,75,4,127.9,131.7,3.8,medium,stable,maintain_quality
beginner,lunge,ovulatory,46,17,152.1,147.3,4.8,medium,declining,reduce_intensity
intermediate,bicep_curl,ovulatory,47,14,160.7,170.0,9.3,low,stable,reduce_intensity
beginner,lunge,ovulatory,83,19,134.1,138.8,4.7,medium,stable,progress_gradually
beginner,shoulder_press,skip,80,7,160.8,163.6,2.8,medium,stable,progress_gradually
intermediate,shoulder_press,skip,94,5,105.5,102.4,3.1,high,stable,maintain_quality
intermediate,bicep_curl,ovulatory,78,15,119.0,117.9,1.1,high,stable,maintain_quality
intermediate,shoulder_press,luteal,94,3,108.8,103.5,5.3,low,improving,increase_challenge
intermediate,squat,follicular,46,6,104.5,112.1,7.6,low,stable,reduce_intensity
advanced,squat,menstrual,88,5,107.3,109.7,2.4,medium,declining,progress_gradually
beginner,shoulder_press,ovulatory,87,12,131.0,123.5,7.5,low,improving,progress_gradually
advanced,lunge,menstrual,62,13,160.5,159.8,0.7,low,declining,focus_control
advanced,bicep_curl,skip,100,20,112.4,114.4,2.0,medium,improving,progress_gradually
advanced,shoulder_press,skip,74,12,163.6,163.2,0.4,high,declining,maintain_quality
beginner,squat,luteal,66,11,110.9,101.1,9.8,medium,stable,focus_control
advanced,lunge,ovulatory,74,3,148.1,147.9,0.2,medium,stable,maintain_quality
intermediate,bicep_curl,menstrual,78,10,155.8,156.8,1.0,medium,stable,progress_gradually
beginner,shoulder_press,skip,55,8,150.0,152.9,2.9,medium,stable,reduce_intensity
